Version;Date_of_report;Date_of_statistics_week_start;Variant_code;Variant_name;ECDC_category;WHO_category;Is_subvariant_of;Sample_size;Variant_cases
4;2022-08-30 00:33:11;2021-02-22;B.1.1.529;Omicron;;VOC;;1037;0
4;2022-08-30 00:33:11;2021-02-22;BA.1;Omicron;VOC;;B.1.1.529;1037;0
4;2022-08-30 00:33:11;2021-02-22;BA.2;Omicron;VOC;;B.1.1.529;1037;0
4;2022-08-30 00:33:11;2021-02-22;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;1037;0
4;2022-08-30 00:33:11;2021-02-22;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;1037;0
4;2022-08-30 00:33:11;2021-02-22;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;1037;0
4;2022-08-30 00:33:11;2021-02-22;BA.2+S:L452X;Omicron;VOI;;BA.2;1037;0
4;2022-08-30 00:33:11;2021-02-22;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;1037;0
4;2022-08-30 00:33:11;2021-02-22;BA.3;Omicron;VUM;;B.1.1.529;1037;0
4;2022-08-30 00:33:11;2021-02-22;B.1.617.2;Delta;DEV;;;1037;0
4;2022-08-30 00:33:11;2021-02-22;B.1.351;Beta;DEV;;;1037;19
4;2022-08-30 00:33:11;2021-02-22;P.1;Gamma;DEV;;;1037;3
4;2022-08-30 00:33:11;2021-02-22;B.1.1.7;Alpha;DEV;;;1037;794
4;2022-08-30 00:33:11;2021-02-22;B.1.621;Mu;DEV;;;1037;0
4;2022-08-30 00:33:11;2021-02-22;C.37;Lambda;DEV;;;1037;0
4;2022-08-30 00:33:11;2021-03-01;B.1.1.529;Omicron;;VOC;;1515;0
4;2022-08-30 00:33:11;2021-03-01;BA.1;Omicron;VOC;;B.1.1.529;1515;0
4;2022-08-30 00:33:11;2021-03-01;BA.2;Omicron;VOC;;B.1.1.529;1515;0
4;2022-08-30 00:33:11;2021-03-01;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;1515;0
4;2022-08-30 00:33:11;2021-03-01;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;1515;0
4;2022-08-30 00:33:11;2021-03-01;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;1515;0
4;2022-08-30 00:33:11;2021-03-01;BA.2+S:L452X;Omicron;VOI;;BA.2;1515;0
