Version;Date_of_report;Date_measurement;RWZI_AWZI_code;RWZI_AWZI_name;RNA_flow_per_100000
2;2022-03-02;2020-05-19;13010;Haarlem Waarderpolder;0
2;2022-03-02;2020-05-19;2032;Harlingen;0
2;2022-03-02;2020-05-19;29003;Land Van Cuijk;11768005869321
2;2022-03-02;2020-05-19;2011;Leeuwarden;0
2;2022-03-02;2020-05-19;1008;Stadskanaal;0
2;2022-03-02;2020-05-19;10009;Utrecht;5154725078071
2;2022-03-02;2020-05-19;4026;Zwolle;1344859852751
2;2022-03-02;2020-05-20;13030;Leimuiden;1460110587742
2;2022-03-02;2020-05-21;12022;Beverwijk;2454401890963
2;2022-03-02;2020-05-21;7022;Etten;45817106695456
2;2022-03-02;2020-05-21;25020;Kaatsheuvel;8319576358773
2;2022-03-02;2020-05-21;25027;Lage Zwaluwe;0
2;2022-03-02;2020-05-21;6004;Lelystad;4503155621369
2;2022-03-02;2020-05-21;30007;Bosscherveld;15818250002916
2;2022-03-02;2020-05-21;5012;Oldenzaal;0
2;2022-03-02;2020-05-21;3028;Sleen;0
2;2022-03-02;2020-05-21;30020;Venray;0
2;2022-03-02;2020-05-22;1033;Garmerwolde;2281102333662
2;2022-03-02;2020-05-22;23002;Terneuzen;0
2;2022-03-02;2020-05-22;21001;Walcheren;0
2;2022-03-02;2020-05-23;4027;Tollebeek;978047263931
2;2022-03-02;2020-05-24;10027;Amersfoort;0
2;2022-03-02;2020-05-24;15005;Houtrust;13602113376476
2;2022-03-02;2020-05-25;9016;Arnhem;13665366618538
2;2022-03-02;2020-05-25;13010;Haarlem Waarderpolder;0
2;2022-03-02;2020-05-25;29003;Land Van Cuijk;3023006185438
2;2022-03-02;2020-05-25;13030;Leimuiden;2170568191395
2;2022-03-02;2020-05-25;32002;Tilburg;3757897480209
2;2022-03-02;2020-05-26;3010;Assen;0
2;2022-03-02;2020-05-26;1033;Garmerwolde;0
2;2022-03-02;2020-05-26;2032;Harlingen;0
2;2022-03-02;2020-05-26;2011;Leeuwarden;0
2;2022-03-02;2020-05-26;1008;Stadskanaal;0
2;2022-03-02;2020-05-26;10009;Utrecht;8851389732790
2;2022-03-02;2020-05-26;4026;Zwolle;329107879972
2;2022-03-02;2020-05-27;12022;Beverwijk;0
2;2022-03-02;2020-05-27;7022;Etten;0
2;2022-03-02;2020-05-27;6004;Lelystad;4406490202820
2;2022-03-02;2020-05-27;30007;Bosscherveld;38240900924836
2;2022-03-02;2020-05-27;5012;Oldenzaal;0
2;2022-03-02;2020-05-27;3028;Sleen;0
2;2022-03-02;2020-05-27;30020;Venray;5235946460836
2;2022-03-02;2020-05-28;25020;Kaatsheuvel;1203389897847
2;2022-03-02;2020-05-28;25027;Lage Zwaluwe;690517874801
2;2022-03-02;2020-05-28;23002;Terneuzen;868479057164
2;2022-03-02;2020-05-29;3010;Assen;0
2;2022-03-02;2020-05-29;1008;Stadskanaal;771300081005
2;2022-03-02;2020-05-29;4027;Tollebeek;1048696491066
2;2022-03-02;2020-06-01;10027;Amersfoort;0
2;2022-03-02;2020-06-01;13030;Leimuiden;0
2;2022-03-02;2020-06-01;5012;Oldenzaal;0
2;2022-03-02;2020-06-01;32002;Tilburg;7867224679070
2;2022-03-02;2020-06-02;13010;Haarlem Waarderpolder;0
2;2022-03-02;2020-06-02;2032;Harlingen;0
2;2022-03-02;2020-06-02;29003;Land Van Cuijk;13880561395507
2;2022-03-02;2020-06-02;6004;Lelystad;3677721835898
2;2022-03-02;2020-06-02;10009;Utrecht;0
2;2022-03-02;2020-06-02;4026;Zwolle;2778255647073
2;2022-03-02;2020-06-03;27008;S Hertogenbosch;4687712201340
2;2022-03-02;2020-06-03;28005;Dinther;6868985298230
2;2022-03-02;2020-06-03;7022;Etten;4173183726712
2;2022-03-02;2020-06-03;1033;Garmerwolde;2310168449262
2;2022-03-02;2020-06-03;25020;Kaatsheuvel;8054304104219
2;2022-03-02;2020-06-03;30007;Bosscherveld;12727135223426
2;2022-03-02;2020-06-03;30020;Venray;4534674724642
2;2022-03-02;2020-06-04;9016;Arnhem;438948408492
2;2022-03-02;2020-06-04;12022;Beverwijk;6331266713866
2;2022-03-02;2020-06-04;2011;Leeuwarden;0
2;2022-03-02;2020-06-05;15005;Houtrust;2093930080724
2;2022-03-02;2020-06-05;3028;Sleen;0
2;2022-03-02;2020-06-06;23002;Terneuzen;0
2;2022-03-02;2020-06-06;21001;Walcheren;1820050651163
2;2022-03-02;2020-06-07;10027;Amersfoort;1075014894199
2;2022-03-02;2020-06-07;13010;Haarlem Waarderpolder;0
2;2022-03-02;2020-06-07;4027;Tollebeek;959917876595
2;2022-03-02;2020-06-08;1033;Garmerwolde;1218901277933
2;2022-03-02;2020-06-08;6004;Lelystad;7346943539280
2;2022-03-02;2020-06-08;32002;Tilburg;0
2;2022-03-02;2020-06-09;3010;Assen;0
2;2022-03-02;2020-06-09;27008;S Hertogenbosch;2355391854937
2;2022-03-02;2020-06-09;28005;Dinther;4053638457850
2;2022-03-02;2020-06-09;13030;Leimuiden;0
2;2022-03-02;2020-06-09;1008;Stadskanaal;2382790609999
2;2022-03-02;2020-06-09;10009;Utrecht;2577114904425
2;2022-03-02;2020-06-10;9016;Arnhem;671027463935
2;2022-03-02;2020-06-10;12022;Beverwijk;0
2;2022-03-02;2020-06-10;7022;Etten;0
2;2022-03-02;2020-06-10;15005;Houtrust;5976421496623
2;2022-03-02;2020-06-10;25027;Lage Zwaluwe;0
2;2022-03-02;2020-06-10;29003;Land Van Cuijk;5162788977294
2;2022-03-02;2020-06-10;30007;Bosscherveld;6661373695758
2;2022-03-02;2020-06-10;5012;Oldenzaal;0
2;2022-03-02;2020-06-10;30020;Venray;460202543019
2;2022-03-02;2020-06-10;4026;Zwolle;0
2;2022-03-02;2020-06-11;25020;Kaatsheuvel;3490899508192
2;2022-03-02;2020-06-11;4027;Tollebeek;15049049141923
2;2022-03-02;2020-06-11;21001;Walcheren;5525347651963
2;2022-03-02;2020-06-12;2032;Harlingen;0
2;2022-03-02;2020-06-12;2011;Leeuwarden;0
2;2022-03-02;2020-06-14;10027;Amersfoort;9174564253516
2;2022-03-02;2020-06-14;1033;Garmerwolde;0
2;2022-03-02;2020-06-14;23002;Terneuzen;0
2;2022-03-02;2020-06-15;27008;S Hertogenbosch;0
2;2022-03-02;2020-06-15;28005;Dinther;0
