Version;Date_of_report;Date_of_statistics;Security_region_code;Security_region_name;Tested_with_result;Tested_positive
2;2022-03-15 09:00:00;2020-10-30;VR01;Groningen;1114;104
2;2022-03-15 09:00:00;2020-10-31;VR01;Groningen;651;56
2;2022-03-15 09:00:00;2020-11-01;VR01;Groningen;554;50
2;2022-03-15 09:00:00;2020-11-02;VR01;Groningen;1306;89
2;2022-03-15 09:00:00;2020-11-03;VR01;Groningen;1069;77
2;2022-03-15 09:00:00;2020-11-04;VR01;Groningen;1057;72
2;2022-03-15 09:00:00;2020-11-05;VR01;Groningen;1001;60
2;2022-03-15 09:00:00;2020-11-06;VR01;Groningen;945;61
2;2022-03-15 09:00:00;2020-11-07;VR01;Groningen;608;45
2;2022-03-15 09:00:00;2020-11-08;VR01;Groningen;526;38
2;2022-03-15 09:00:00;2020-11-09;VR01;Groningen;1247;71
2;2022-03-15 09:00:00;2020-11-10;VR01;Groningen;1284;73
2;2022-03-15 09:00:00;2020-11-11;VR01;Groningen;1248;83
2;2022-03-15 09:00:00;2020-11-12;VR01;Groningen;1183;73
2;2022-03-15 09:00:00;2020-11-13;VR01;Groningen;976;58
2;2022-03-15 09:00:00;2020-11-14;VR01;Groningen;645;40
2;2022-03-15 09:00:00;2020-11-15;VR01;Groningen;558;39
2;2022-03-15 09:00:00;2020-11-16;VR01;Groningen;1536;98
2;2022-03-15 09:00:00;2020-11-17;VR01;Groningen;1325;95
2;2022-03-15 09:00:00;2020-11-18;VR01;Groningen;1440;96
2;2022-03-15 09:00:00;2020-11-19;VR01;Groningen;1371;109
2;2022-03-15 09:00:00;2020-11-20;VR01;Groningen;1200;77
2;2022-03-15 09:00:00;2020-11-21;VR01;Groningen;825;50
2;2022-03-15 09:00:00;2020-11-22;VR01;Groningen;771;46
2;2022-03-15 09:00:00;2020-11-23;VR01;Groningen;1608;109
2;2022-03-15 09:00:00;2020-11-24;VR01;Groningen;1448;77
2;2022-03-15 09:00:00;2020-11-25;VR01;Groningen;1453;90
2;2022-03-15 09:00:00;2020-11-26;VR01;Groningen;1399;83
2;2022-03-15 09:00:00;2020-11-27;VR01;Groningen;1329;77
2;2022-03-15 09:00:00;2020-11-28;VR01;Groningen;830;66
2;2022-03-15 09:00:00;2020-11-29;VR01;Groningen;821;61
2;2022-03-15 09:00:00;2020-11-30;VR01;Groningen;1766;106
2;2022-03-15 09:00:00;2020-12-01;VR01;Groningen;1822;121
2;2022-03-15 09:00:00;2020-12-02;VR01;Groningen;1864;138
2;2022-03-15 09:00:00;2020-12-03;VR01;Groningen;1736;134
2;2022-03-15 09:00:00;2020-12-04;VR01;Groningen;1634;150
2;2022-03-15 09:00:00;2020-12-05;VR01;Groningen;1008;98
2;2022-03-15 09:00:00;2020-12-06;VR01;Groningen;1164;97
2;2022-03-15 09:00:00;2020-12-07;VR01;Groningen;2132;207
2;2022-03-15 09:00:00;2020-12-08;VR01;Groningen;2297;170
2;2022-03-15 09:00:00;2020-12-09;VR01;Groningen;2576;192
2;2022-03-15 09:00:00;2020-12-10;VR01;Groningen;2623;191
2;2022-03-15 09:00:00;2020-12-11;VR01;Groningen;2596;244
2;2022-03-15 09:00:00;2020-12-12;VR01;Groningen;1725;153
2;2022-03-15 09:00:00;2020-12-13;VR01;Groningen;1693;118
2;2022-03-15 09:00:00;2020-12-14;VR01;Groningen;2755;244
2;2022-03-15 09:00:00;2020-12-15;VR01;Groningen;2766;262
2;2022-03-15 09:00:00;2020-12-16;VR01;Groningen;2744;234
2;2022-03-15 09:00:00;2020-12-17;VR01;Groningen;2512;223
2;2022-03-15 09:00:00;2020-12-18;VR01;Groningen;2490;236
2;2022-03-15 09:00:00;2020-12-19;VR01;Groningen;1880;180
2;2022-03-15 09:00:00;2020-12-20;VR01;Groningen;1776;138
2;2022-03-15 09:00:00;2020-12-21;VR01;Groningen;2781;271
2;2022-03-15 09:00:00;2020-12-22;VR01;Groningen;2803;266
2;2022-03-15 09:00:00;2020-12-23;VR01;Groningen;2919;214
2;2022-03-15 09:00:00;2020-12-24;VR01;Groningen;2231;168
2;2022-03-15 09:00:00;2020-12-25;VR01;Groningen;1668;179
2;2022-03-15 09:00:00;2020-12-26;VR01;Groningen;1173;95
2;2022-03-15 09:00:00;2020-12-27;VR01;Groningen;1281;128
2;2022-03-15 09:00:00;2020-12-28;VR01;Groningen;2285;244
2;2022-03-15 09:00:00;2020-12-29;VR01;Groningen;2382;221
2;2022-03-15 09:00:00;2020-12-30;VR01;Groningen;2226;228
2;2022-03-15 09:00:00;2020-12-31;VR01;Groningen;1658;176
2;2022-03-15 09:00:00;2021-01-01;VR01;Groningen;1238;178
2;2022-03-15 09:00:00;2021-01-02;VR01;Groningen;1578;160
2;2022-03-15 09:00:00;2021-01-03;VR01;Groningen;1346;106
2;2022-03-15 09:00:00;2021-01-04;VR01;Groningen;2205;243
2;2022-03-15 09:00:00;2021-01-05;VR01;Groningen;2187;227
2;2022-03-15 09:00:00;2021-01-06;VR01;Groningen;2221;190
2;2022-03-15 09:00:00;2021-01-07;VR01;Groningen;1844;162
2;2022-03-15 09:00:00;2021-01-08;VR01;Groningen;1635;132
2;2022-03-15 09:00:00;2021-01-09;VR01;Groningen;1283;104
2;2022-03-15 09:00:00;2021-01-10;VR01;Groningen;971;99
2;2022-03-15 09:00:00;2021-01-11;VR01;Groningen;1834;198
2;2022-03-15 09:00:00;2021-01-12;VR01;Groningen;1462;128
2;2022-03-15 09:00:00;2021-01-13;VR01;Groningen;1687;142
2;2022-03-15 09:00:00;2021-01-14;VR01;Groningen;1618;141
2;2022-03-15 09:00:00;2021-01-15;VR01;Groningen;1572;137
2;2022-03-15 09:00:00;2021-01-16;VR01;Groningen;1189;119
2;2022-03-15 09:00:00;2021-01-17;VR01;Groningen;805;73
2;2022-03-15 09:00:00;2021-01-18;VR01;Groningen;1805;168
